dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,4.374469,4.064000,0.000075,0.009962,0.664141,44.276094,3.140055
0.015000,4.374519,4.064000,0.000124,0.003308,-0.443612,-73.850242,3.140199
0.015000,4.374631,4.064000,0.000236,0.007446,0.275897,47.967251,3.140522
0.015000,4.374817,4.064000,0.000422,0.012421,0.331674,3.718504,3.141062
0.015000,4.374608,4.064000,0.000631,0.013935,0.100929,-15.383031,3.141820
0.015000,4.372927,4.063999,0.002312,0.112051,6.541009,429.338701,3.142796
0.015000,4.370875,4.063995,0.004365,0.136849,1.653204,-325.853648,3.143993
0.015000,4.368451,4.063988,0.006788,0.161568,1.647966,-0.349260,3.145415
0.015000,4.365658,4.063975,0.009582,0.186231,1.644205,-0.250712,3.147063
0.015000,4.362496,4.063954,0.012744,0.210802,1.638078,-0.408454,3.148943
0.015000,4.358967,4.063925,0.016273,0.235246,1.629551,-0.568451,3.151057
0.015000,4.355072,4.063883,0.020168,0.259683,1.629172,-0.025257,3.153412
0.015000,4.350815,4.063827,0.024425,0.283841,1.610540,-1.242148,3.156012
0.015000,4.346195,4.063754,0.029046,0.308014,1.611532,0.066140,3.158865
0.015000,4.341217,4.063660,0.034025,0.331935,1.594745,-1.119144,3.161975
0.015000,4.335883,4.063543,0.039360,0.355696,1.584030,-0.714341,3.165351
0.015000,4.330196,4.063397,0.045049,0.379260,1.570934,-0.873056,3.169001
0.015000,4.324158,4.063220,0.051089,0.402688,1.561897,-0.602465,3.172934
0.015000,4.317775,4.063006,0.057477,0.425811,1.541516,-1.358759,3.177160
0.015000,4.311048,4.062752,0.064208,0.448744,1.528848,-0.844520,3.181689
0.015000,4.303984,4.062451,0.071278,0.471365,1.508105,-1.382877,3.186533
0.015000,4.296587,4.062099,0.078684,0.493728,1.490865,-1.149307,3.191704
0.015000,4.288861,4.061691,0.086421,0.515779,1.470054,-1.387438,3.197217
0.015000,4.280813,4.061219,0.094483,0.537463,1.445554,-1.633321,3.203085
0.015000,4.272448,4.060678,0.102865,0.558824,1.424067,-1.432481,3.209324
0.015000,4.263774,4.060061,0.111561,0.579727,1.393539,-2.035184,3.215953
0.015000,4.254797,4.059360,0.120565,0.600295,1.371215,-1.488262,3.222989
0.015000,4.245525,4.058569,0.129870,0.620326,1.335390,-2.388309,3.230452
0.015000,4.235968,4.057680,0.139469,0.639899,1.304898,-2.032850,3.238364
0.015000,4.226134,4.056684,0.149353,0.658935,1.269081,-2.387794,3.246749
0.015000,4.216035,4.055573,0.159513,0.677358,1.228147,-2.728895,3.255630
0.015000,4.205681,4.054338,0.169941,0.695184,1.188425,-2.648144,3.265036
0.015000,4.195083,4.052969,0.180627,0.712376,1.146125,-2.819992,3.274994
0.015000,4.184255,4.051459,0.191559,0.728845,1.097920,-3.213696,3.285537
0.015000,4.173212,4.049795,0.202727,0.744501,1.043747,-3.611492,3.296696
0.015000,4.161968,4.047970,0.214118,0.759426,0.995009,-3.249234,3.308508
0.015000,4.150540,4.045971,0.225719,0.773423,0.933162,-4.123106,3.321010
0.015000,4.138946,4.043789,0.237517,0.786508,0.872278,-4.058956,3.334241
0.015000,4.127204,4.041414,0.249497,0.798646,0.809207,-4.204712,3.348245
0.015000,4.115336,4.038835,0.261642,0.809712,0.737725,-4.765479,3.363066
0.015000,4.103361,4.036040,0.273939,0.819753,0.669429,-4.553045,3.378750
0.015000,4.091303,4.033021,0.286369,0.828666,0.594188,-5.016066,3.395348
0.015000,4.079187,4.029765,0.298914,0.836378,0.514160,-5.335208,3.412909
0.015000,4.067038,4.026265,0.311558,0.842939,0.437408,-5.116812,3.431484
0.015000,4.054880,4.022509,0.324283,0.848280,0.356043,-5.424372,3.451125
0.015000,4.042742,4.018489,0.337070,0.852458,0.278555,-5.165850,3.471885
0.015000,4.030649,4.014196,0.349901,0.855459,0.200019,-5.235690,3.493812
0.015000,4.018630,4.009620,0.362763,0.857410,0.130095,-4.661623,3.516956
0.015000,4.006709,4.004756,0.375638,0.858366,0.063728,-4.424444,3.541357
0.015000,3.994911,3.999593,0.388516,0.858500,0.008928,-3.653367,3.567051
0.015000,3.983260,3.994124,0.401386,0.858033,-0.031138,-2.671031,3.594064
