dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,4.375000,4.409000,0.000075,0.009962,0.664141,44.276094,3.140055
0.015000,4.375000,4.409000,0.000374,0.029886,1.328283,44.276094,3.140199
0.015000,4.375000,4.409000,0.001046,0.059773,1.992424,44.276094,3.140522
0.015000,4.375000,4.409000,0.002167,0.089659,1.992424,0.000000,3.141062
0.015000,4.374530,4.409000,0.003736,0.119545,1.992424,-0.000000,3.141820
0.015000,4.372512,4.408999,0.005753,0.149432,1.992424,0.000000,3.142796
0.015000,4.370046,4.408994,0.008219,0.179318,1.992424,0.000000,3.143993
0.015000,4.367132,4.408985,0.011133,0.209205,1.992424,-0.000000,3.145415
0.015000,4.363770,4.408969,0.014495,0.239091,1.992424,-0.000000,3.147063
0.015000,4.359960,4.408945,0.018305,0.268977,1.992424,0.000000,3.148943
0.015000,4.355702,4.408909,0.022564,0.298864,1.992424,-0.000000,3.151057
0.015000,4.350994,4.408859,0.027271,0.328750,1.992424,0.000000,3.153412
0.015000,4.345840,4.408791,0.032427,0.358636,1.992424,0.000000,3.156012
0.015000,4.340237,4.408703,0.038030,0.388523,1.992424,0.000000,3.158865
0.015000,4.334186,4.408589,0.044082,0.418409,1.992424,-0.000000,3.161975
0.015000,4.327687,4.408445,0.050583,0.448295,1.992424,0.000000,3.165351
0.015000,4.320741,4.408268,0.057531,0.478182,1.992424,0.000000,3.169001
0.015000,4.313347,4.408050,0.064928,0.508068,1.992424,0.000000,3.172934
0.015000,4.305506,4.407788,0.072773,0.537955,1.992424,-0.000000,3.177160
0.015000,4.297219,4.407474,0.081067,0.567841,1.992424,0.000000,3.181689
0.015000,4.288485,4.407103,0.089809,0.597727,1.992424,-0.000000,3.186533
0.015000,4.279305,4.406666,0.098999,0.627614,1.992424,0.000000,3.191704
0.015000,4.269680,4.406157,0.108637,0.657500,1.992424,0.000000,3.197217
0.015000,4.259611,4.405567,0.118724,0.687386,1.992424,0.000000,3.203085
0.015000,4.249098,4.404887,0.129259,0.717273,1.992424,0.000000,3.209324
0.015000,4.238143,4.404107,0.140242,0.747159,1.992424,0.000000,3.215953
0.015000,4.226746,4.403218,0.151673,0.777045,1.992424,0.000000,3.222989
0.015000,4.214909,4.402208,0.163553,0.806932,1.992424,-0.000000,3.230452
0.015000,4.202634,4.401066,0.175881,0.836818,1.992424,0.000000,3.238364
0.015000,4.189922,4.399778,0.188658,0.866705,1.992424,-0.000000,3.246749
0.015000,4.176777,4.398332,0.201882,0.896591,1.992424,0.000000,3.255630
0.015000,4.163201,4.396712,0.215555,0.926477,1.992424,0.000000,3.265036
0.015000,4.149196,4.394904,0.229677,0.956364,1.992424,-0.000000,3.274994
0.015000,4.134766,4.392891,0.244246,0.986250,1.992424,0.000000,3.285537
0.015000,4.119916,4.390654,0.259264,1.016136,1.992424,-0.000000,3.296696
0.015000,4.104649,4.388175,0.274730,1.046023,1.992424,-0.000000,3.308508
0.015000,4.088973,4.385433,0.290645,1.075909,1.992424,0.000000,3.321010
0.015000,4.072893,4.382407,0.307008,1.105795,1.992424,-0.000000,3.334241
0.015000,4.056415,4.379074,0.323819,1.135682,1.992424,0.000000,3.348245
0.015000,4.039551,4.375408,0.341078,1.165568,1.992424,-0.000000,3.363066
0.015000,4.022306,4.371384,0.358786,1.195455,1.992424,0.000000,3.378750
0.015000,4.004694,4.366972,0.376942,1.225341,1.992424,0.000000,3.395348
0.015000,3.986728,4.362145,0.395546,1.255227,1.992424,0.000000,3.412909
0.015000,3.968420,4.356870,0.414599,1.285114,1.992424,-0.000000,3.431484
0.015000,3.949789,4.351113,0.434099,1.315000,1.992424,0.000000,3.451125
0.015000,3.930852,4.344841,0.454049,1.344886,1.992424,-0.000000,3.471885
0.015000,3.911631,4.338016,0.474446,1.374773,1.992424,0.000000,3.493812
0.015000,3.892149,4.330600,0.495292,1.404659,1.992424,-0.000000,3.516956
0.015000,3.872434,4.322553,0.516586,1.434545,1.992424,0.000000,3.541357
