dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,4.375531,4.754000,0.000075,0.009962,0.664141,44.276094,3.140055
0.015000,4.375481,4.754000,0.000124,0.003308,-0.443612,-73.850242,3.140199
0.015000,4.375369,4.754000,0.000236,0.007446,0.275897,47.967251,3.140522
0.015000,4.375183,4.754000,0.000422,0.012421,0.331674,3.718504,3.141062
0.015000,4.374451,4.754000,0.001154,0.048773,2.423411,139.449157,3.141820
0.015000,4.372097,4.753998,0.003508,0.156954,7.212095,319.245570,3.142796
0.015000,4.369218,4.753993,0.006387,0.191934,2.331963,-325.342112,3.143993
0.015000,4.365814,4.753982,0.009792,0.226951,2.334492,0.168588,3.145415
0.015000,4.361883,4.753964,0.013723,0.262066,2.341006,0.434277,3.147063
0.015000,4.357424,4.753936,0.018181,0.297259,2.346169,0.344146,3.148943
0.015000,4.352437,4.753894,0.023169,0.332508,2.349977,0.253904,3.151057
0.015000,4.346917,4.753835,0.028689,0.368020,2.367449,1.164762,3.153412
0.015000,4.340866,4.753756,0.034741,0.403439,2.361280,-0.411263,3.156012
0.015000,4.334278,4.753651,0.041329,0.439218,2.385290,1.600669,3.158865
0.015000,4.327154,4.753517,0.048454,0.475015,2.386468,0.078536,3.161975
0.015000,4.319491,4.753348,0.056119,0.510998,2.398840,0.824823,3.165351
0.015000,4.311286,4.753138,0.064327,0.547156,2.410522,0.778803,3.169001
0.015000,4.302536,4.752881,0.073081,0.583621,2.430988,1.364380,3.172934
0.015000,4.293238,4.752570,0.082384,0.620192,2.438112,0.474949,3.177160
0.015000,4.283389,4.752197,0.092240,0.657088,2.459691,1.438596,3.181689
0.015000,4.272986,4.751755,0.102653,0.694182,2.472975,0.885619,3.186533
0.015000,4.262024,4.751233,0.113627,0.731609,2.495118,1.476175,3.191704
0.015000,4.250500,4.750623,0.125167,0.769349,2.516013,1.393029,3.197217
0.015000,4.238410,4.749915,0.137278,0.807384,2.535666,1.310185,3.203085
0.015000,4.225748,4.749096,0.149966,0.845851,2.564437,1.918095,3.209324
0.015000,4.212513,4.748154,0.163235,0.884618,2.584468,1.335341,3.215953
0.015000,4.198695,4.747076,0.177094,0.923952,2.622300,2.522141,3.222989
0.015000,4.184293,4.745847,0.191549,0.963629,2.645138,1.522557,3.230452
0.015000,4.169300,4.744451,0.206607,1.003863,2.682233,2.473004,3.238364
0.015000,4.153710,4.742872,0.222276,1.044627,2.717606,2.358173,3.246749
0.015000,4.137520,4.741091,0.238565,1.085904,2.751786,2.278658,3.255630
0.015000,4.120721,4.739087,0.255482,1.127833,2.795289,2.900221,3.265036
0.015000,4.103309,4.736839,0.273039,1.170473,2.842678,3.159272,3.274994
0.015000,4.085276,4.734322,0.291246,1.213806,2.888867,3.079243,3.285537
0.015000,4.066619,4.731512,0.310114,1.257814,2.933838,2.998111,3.296696
0.015000,4.047331,4.728380,0.329655,1.302773,2.997282,4.229565,3.308508
0.015000,4.027406,4.724895,0.349883,1.348494,3.048086,3.386969,3.321010
0.015000,4.006839,4.721025,0.370810,1.395148,3.110203,4.141123,3.334241
0.015000,3.985627,4.716733,0.392452,1.442826,3.178553,4.556632,3.348245
0.015000,3.963765,4.711981,0.414824,1.491449,3.241574,4.201448,3.363066
0.015000,3.941252,4.706727,0.437943,1.541247,3.319825,5.216725,3.378750
0.015000,3.918085,4.700924,0.461825,1.592156,3.393937,4.940758,3.395348
0.015000,3.894268,4.694525,0.486487,1.644144,3.465870,4.795546,3.412909
0.015000,3.869803,4.687475,0.511948,1.697382,3.549240,5.558050,3.431484
0.015000,3.844697,4.679718,0.538224,1.751767,3.625655,5.094278,3.451125
0.015000,3.818961,4.671193,0.565335,1.807389,3.708104,5.496630,3.471885
0.015000,3.792612,4.661836,0.593297,1.864105,3.781062,4.863868,3.493812
0.015000,3.765669,4.651579,0.622127,1.921979,3.858296,5.148912,3.516956
0.015000,3.738160,4.640351,0.651838,1.980784,3.920296,4.133358,3.541357
0.015000,3.710122,4.628079,0.682444,2.040396,3.974143,3.589759,3.567051
0.015000,3.681599,4.614689,0.713954,2.100620,4.014941,2.719924,3.594064
0.015000,3.652647,4.600106,0.746371,2.161157,4.035807,1.391025,3.622411
0.015000,3.623332,4.584257,0.779696,2.221697,4.036014,0.013812,3.652091
0.015000,3.593730,4.567074,0.813924,2.281826,4.008564,-1.830024,3.683086
0.015000,3.563935,4.548493,0.849038,2.340951,3.941665,-4.459915,3.715353
0.015000,3.534047,4.528462,0.885018,2.398634,3.845530,-6.409015,3.748828
0.015000,3.504182,4.506937,0.921831,2.454216,3.705481,-9.336590,3.783422
0.015000,3.474465,4.483892,0.959436,2.507035,3.521277,-12.280265,3.819013
0.015000,3.445028,4.459316,0.997784,2.556524,3.299279,-14.799888,3.855456
0.015000,3.416007,4.433218,1.036815,2.602029,3.033668,-17.707339,3.892579
0.015000,3.387539,4.405625,1.076460,2.643010,2.732050,-20.107922,3.930185
0.015000,3.359760,4.376586,1.116646,2.679086,2.405076,-21.798267,3.968060
0.015000,3.332794,4.346169,1.157295,2.709954,2.057836,-23.149297,4.005977
0.015000,3.306754,4.314458,1.198328,2.735504,1.703342,-23.632916,4.043707
0.015000,3.281739,4.281549,1.239665,2.755790,1.352442,-23.393362,4.081018
0.015000,3.257827,4.247550,1.281230,2.771037,1.016435,-22.400473,4.117693
0.015000,3.235077,4.212574,1.322955,2.781614,0.705119,-20.754408,4.153528
0.015000,3.213527,4.176734,1.364775,2.788005,0.426101,-18.601184,4.188342
0.015000,3.193196,4.140141,1.406636,2.790788,0.185503,-16.039841,4.221976
0.015000,3.174085,4.102900,1.448495,2.790561,-0.015094,-13.373190,4.254300
0.015000,3.156177,4.065109,1.490314,2.787947,-0.174289,-10.612974,4.285212
0.015000,3.139444,4.026855,1.532067,2.783539,-0.293860,-7.971390,4.314631
0.015000,3.123846,3.988217,1.573735,2.777890,-0.376635,-5.518369,4.342506
0.015000,3.109333,3.949260,1.615308,2.771483,-0.427114,-3.365218,4.368801
0.015000,3.095851,3.910042,1.656778,2.764692,-0.452721,-1.707175,4.393502
0.015000,3.083341,3.870610,1.698147,2.757908,-0.452293,0.028530,4.416608
0.015000,3.071742,3.831004,1.739417,2.751340,-0.437862,0.962115,4.438128
0.015000,3.060991,3.791254,1.780595,2.745202,-0.409212,1.909961,4.458082
0.015000,3.051024,3.751387,1.821689,2.739624,-0.371827,2.492335,4.476494
0.015000,3.041779,3.711422,1.862709,2.734674,-0.330024,2.786915,4.493391
0.015000,3.033195,3.671376,1.903665,2.730379,-0.286325,2.913257,4.508801
0.015000,3.025210,3.631262,1.944566,2.726727,-0.243442,2.858825,4.522753
0.015000,3.017764,3.591091,1.985421,2.723661,-0.204406,2.602389,4.535272
0.015000,3.010801,3.550873,2.026238,2.721117,-0.169584,2.321485,4.546381
0.015000,3.004261,3.510616,2.067022,2.718990,-0.141798,1.852381,4.556098
0.015000,2.998090,3.470329,2.107780,2.717148,-0.122814,1.265652,4.564435
0.015000,2.992230,3.430021,2.148511,2.715450,-0.113207,0.640433,4.571399
0.015000,2.986627,3.389702,2.189217,2.713736,-0.114251,-0.069583,4.576989
0.015000,2.981236,3.349461,2.229818,2.706685,-0.470087,-23.722382,4.581190
0.015000,2.976019,3.309461,2.270157,2.689271,-1.160905,-46.054538,4.583983
0.015000,2.970938,3.269859,2.310083,2.661765,-1.833765,-44.857372,4.585364
0.015000,2.965946,3.230736,2.349524,2.629367,-2.159841,-21.738388,4.585337
0.015000,2.960987,3.192098,2.388478,2.596965,-2.160167,-0.021741,4.583900
0.015000,2.956008,3.153957,2.426943,2.564309,-2.177063,-1.126391,4.581044
0.015000,2.950960,3.116327,2.464910,2.531149,-2.210633,-2.237968,4.576747
0.015000,2.945792,3.079227,2.502369,2.497235,-2.260979,-3.356409,4.570974
0.015000,2.940458,3.042679,2.539303,2.462305,-2.328623,-4.509619,4.563683
0.015000,2.934912,3.006713,2.575695,2.426086,-2.414659,-5.735726,4.554818
0.015000,2.929110,2.971361,2.611519,2.388316,-2.517961,-6.886810,4.544310
0.015000,2.923010,2.936663,2.646750,2.348694,-2.641456,-8.233002,4.532080
0.015000,2.916897,2.904309,2.679676,2.195120,-10.238301,-506.456346,4.519026
0.015000,2.910056,2.870654,2.714019,2.289519,6.293309,1102.107344,4.504532
0.015000,2.902819,2.837572,2.747883,2.257617,-2.126842,-561.343368,4.489364
0.015000,2.895210,2.805198,2.781140,2.217073,-2.702899,-38.403848,4.473546
0.015000,2.887243,2.773602,2.813725,2.172366,-2.980513,-18.507604,4.457084
0.015000,2.878923,2.742797,2.845634,2.127229,-3.009136,-1.908192,4.439959
0.015000,2.870257,2.712799,2.876859,2.081687,-3.036074,-1.795817,4.422153
0.015000,2.861250,2.683620,2.907395,2.035776,-3.060735,-1.644117,4.403651
0.015000,2.851912,2.655276,2.937239,1.989540,-3.082409,-1.444892,4.384438
0.015000,2.842252,2.627777,2.966384,1.943048,-3.099454,-1.136320,4.364503
0.015000,2.832282,2.601137,2.994829,1.896343,-3.113669,-0.947695,4.343837
0.015000,2.822014,2.575364,3.022572,1.849521,-3.121518,-0.523284,4.322435
0.015000,2.811461,2.550468,3.049613,1.802697,-3.121605,-0.005768,4.300296
0.015000,2.800639,2.526455,3.075952,1.755947,-3.116626,0.331888,4.277424
0.015000,2.789563,2.503329,3.101593,1.709437,-3.100653,1.064925,4.253829
0.015000,2.778250,2.481092,3.126543,1.663280,-3.077161,1.566074,4.229527
0.015000,2.766719,2.459742,3.150807,1.617652,-3.041843,2.354539,4.204541
0.015000,2.754986,2.439276,3.174398,1.572716,-2.995723,3.074695,4.178900
0.015000,2.743069,2.419686,3.197328,1.528644,-2.938173,3.836651,4.152643
0.015000,2.730987,2.400962,3.219612,1.485621,-2.868202,4.664750,4.125814
0.015000,2.718755,2.383089,3.241270,1.443832,-2.785915,5.485810,4.098468
0.015000,2.706392,2.366050,3.262321,1.403451,-2.692065,6.256632,4.070666
0.015000,2.693910,2.349826,3.282791,1.364644,-2.587166,6.993272,4.042476
0.015000,2.681326,2.334393,3.302705,1.327564,-2.471998,7.677868,4.013973
0.015000,2.668650,2.319726,3.322090,1.292339,-2.348300,8.246536,3.985238
0.015000,2.655895,2.305799,3.340976,1.259068,-2.218084,8.681104,3.956356
0.015000,2.643068,2.292583,3.359393,1.227818,-2.083346,8.982506,3.927415
0.015000,2.630178,2.280048,3.377372,1.198624,-1.946225,9.141380,3.898503
0.015000,2.617232,2.268166,3.394945,1.171483,-1.809449,9.118445,3.869711
0.015000,2.604235,2.256908,3.412140,1.146354,-1.675258,8.946056,3.841126
0.015000,2.591192,2.246244,3.428987,1.123160,-1.546232,8.601689,3.812831
0.015000,2.578109,2.236146,3.445514,1.101800,-1.424049,8.145584,3.784907
0.015000,2.564989,2.226589,3.461746,1.082136,-1.310877,7.544756,3.757428
0.015000,2.551837,2.217546,3.477706,1.064014,-1.208187,6.846007,3.730460
0.015000,2.538660,2.208994,3.493415,1.047264,-1.116622,6.104376,3.704063
0.015000,2.525463,2.200911,3.508891,1.031704,-1.037320,5.286760,3.678289
0.015000,2.512254,2.193276,3.524148,1.017152,-0.970157,4.477515,3.653181
0.015000,2.499040,2.186068,3.539200,1.003421,-0.915429,3.648594,3.628776
0.015000,2.485832,2.179270,3.554055,0.990334,-0.872478,2.863380,3.605101
0.015000,2.472639,2.172865,3.568720,0.977726,-0.840528,2.129964,3.582177
0.015000,2.459473,2.166835,3.583202,0.965435,-0.819361,1.411164,3.560019
0.015000,2.446345,2.161165,3.597502,0.953326,-0.807271,0.806000,3.538633
0.015000,2.433268,2.155840,3.611621,0.941262,-0.804243,0.201858,3.518022
0.015000,2.420257,2.150847,3.625558,0.929145,-0.807809,-0.237702,3.498183
0.015000,2.407323,2.146169,3.639311,0.916870,-0.818383,-0.704934,3.479110
0.015000,2.394482,2.141795,3.652876,0.904359,-0.834025,-1.042839,3.460792
0.015000,2.381748,2.137711,3.666249,0.891534,-0.855010,-1.398988,3.443217
0.015000,2.369135,2.133903,3.679425,0.878362,-0.878145,-1.542323,3.426368
0.015000,2.356657,2.130360,3.692397,0.864787,-0.905022,-1.791808,3.410228
0.015000,2.344327,2.127069,3.705158,0.850783,-0.933604,-1.905472,3.394778
0.015000,2.332159,2.124016,3.717703,0.836319,-0.964240,-2.042378,3.379999
0.015000,2.320166,2.121192,3.730024,0.821391,-0.995184,-2.062978,3.365870
0.015000,2.308361,2.118583,3.742114,0.805971,-1.028018,-2.188939,3.352371
0.015000,2.296757,2.116179,3.753965,0.790079,-1.059473,-2.097003,3.339479
0.015000,2.285364,2.113967,3.765571,0.773714,-1.090999,-2.101671,3.327176
0.015000,2.274193,2.111938,3.776924,0.756870,-1.122935,-2.129075,3.315440
0.015000,2.263256,2.110081,3.788017,0.739564,-1.153689,-2.050259,3.304250
0.015000,2.252563,2.108385,3.798844,0.721808,-1.183786,-2.006511,3.293588
0.015000,2.242123,2.106840,3.809398,0.703614,-1.212892,-1.940386,3.283434
0.015000,2.231944,2.105437,3.819673,0.684988,-1.241748,-1.923729,3.273770
0.015000,2.222036,2.104166,3.829663,0.665968,-1.268026,-1.751866,3.264578
0.015000,2.212405,2.103018,3.839361,0.646549,-1.294592,-1.771042,3.255842
0.015000,2.203061,2.101985,3.848762,0.626764,-1.319013,-1.628108,3.247544
0.015000,2.194009,2.101059,3.857862,0.606619,-1.342964,-1.596697,3.239671
0.015000,2.185256,2.100231,3.866654,0.586149,-1.364647,-1.445566,3.232205
0.015000,2.176808,2.099493,3.875134,0.565329,-1.388034,-1.559151,3.225135
0.015000,2.168671,2.098839,3.883297,0.544231,-1.406542,-1.233870,3.218447
0.015000,2.160849,2.098262,3.891140,0.522848,-1.425521,-1.265229,3.212128
0.015000,2.153349,2.097755,3.898658,0.501172,-1.445067,-1.303103,3.206167
0.015000,2.146173,2.097311,3.905847,0.479279,-1.459561,-0.966249,3.200552
0.015000,2.139328,2.096925,3.912703,0.457109,-1.477995,-1.228945,3.195274
0.015000,2.132815,2.096591,3.919225,0.434741,-1.491184,-0.879224,3.190322
0.015000,2.126640,2.096304,3.925407,0.412142,-1.506602,-1.027871,3.185688
0.015000,2.120804,2.096060,3.931248,0.389390,-1.516801,-0.679956,3.181363
0.015000,2.115312,2.095852,3.936744,0.366410,-1.531957,-1.010362,3.177339
0.015000,2.110165,2.095678,3.941893,0.343296,-1.540950,-0.599546,3.173609
0.015000,2.105367,2.095532,3.946694,0.320028,-1.551228,-0.685241,3.170166
0.015000,2.100920,2.095412,3.951142,0.296584,-1.562933,-0.780341,3.167005
0.015000,2.096825,2.095314,3.955238,0.273060,-1.568279,-0.356355,3.164119
0.015000,2.093085,2.095235,3.958979,0.249392,-1.577855,-0.638445,3.161503
0.015000,2.089702,2.095171,3.962363,0.225609,-1.585503,-0.509817,3.159154
