dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.078121,3.063998,0.000074,0.009886,0.659055,43.937015,6.280634
0.015000,2.078121,3.063998,0.000371,0.029657,1.318110,43.937015,6.280885
0.015000,2.078121,3.063998,0.001038,0.059315,1.977166,43.937015,6.281450
0.015000,2.078121,3.063998,0.002150,0.088972,1.977166,0.000000,6.282393
0.015000,2.078745,3.063998,0.003707,0.118630,1.977166,0.000000,0.000529
0.015000,2.080747,3.064001,0.005709,0.148287,1.977166,0.000000,0.002229
0.015000,2.083194,3.064009,0.008156,0.177945,1.977166,-0.000000,0.004312
0.015000,2.086085,3.064025,0.011047,0.207602,1.977166,0.000000,0.006778
0.015000,2.089422,3.064053,0.014384,0.237260,1.977166,0.000000,0.009630
0.015000,2.093202,3.064095,0.018165,0.266917,1.977166,-0.000000,0.012873
0.015000,2.097428,3.064157,0.022391,0.296575,1.977166,0.000000,0.016509
0.015000,2.102098,3.064244,0.027062,0.326232,1.977166,-0.000000,0.020541
0.015000,2.107213,3.064360,0.032178,0.355890,1.977166,0.000000,0.024975
0.015000,2.112772,3.064512,0.037739,0.385547,1.977166,-0.000000,0.029814
0.015000,2.118774,3.064707,0.043745,0.415205,1.977166,0.000000,0.035063
0.015000,2.125220,3.064952,0.050195,0.444862,1.977166,-0.000000,0.040726
0.015000,2.132109,3.065253,0.057091,0.474520,1.977166,0.000000,0.046809
0.015000,2.139440,3.065621,0.064431,0.504177,1.977166,-0.000000,0.053317
0.015000,2.147212,3.066062,0.072216,0.533835,1.977166,0.000000,0.060255
0.015000,2.155426,3.066588,0.080446,0.563492,1.977166,0.000000,0.067629
0.015000,2.164078,3.067208,0.089121,0.593150,1.977166,0.000000,0.075442
0.015000,2.173169,3.067933,0.098240,0.622807,1.977166,-0.000000,0.083701
0.015000,2.182696,3.068774,0.107805,0.652465,1.977166,0.000000,0.092409
0.015000,2.192659,3.069743,0.117814,0.682122,1.977166,0.000000,0.101571
0.015000,2.203054,3.070853,0.128269,0.711780,1.977166,0.000000,0.111191
0.015000,2.213879,3.072117,0.139168,0.741437,1.977166,0.000000,0.121273
0.015000,2.225133,3.073549,0.150512,0.771095,1.977166,-0.000000,0.131817
0.015000,2.236810,3.075163,0.162301,0.800752,1.977166,0.000000,0.142827
0.015000,2.248909,3.076973,0.174534,0.830410,1.977166,-0.000000,0.154301
0.015000,2.261425,3.078997,0.187213,0.860067,1.977166,0.000000,0.166241
0.015000,2.274354,3.081248,0.200336,0.889725,1.977166,-0.000000,0.178643
0.015000,2.287690,3.083745,0.213905,0.919382,1.977166,0.000000,0.191505
0.015000,2.301429,3.086504,0.227918,0.949040,1.977166,0.000000,0.204819
0.015000,2.315564,3.089542,0.242376,0.978697,1.977166,-0.000000,0.218580
0.015000,2.330089,3.092876,0.257279,1.008354,1.977166,0.000000,0.232777
0.015000,2.344996,3.096526,0.272626,1.038012,1.977166,0.000000,0.247398
0.015000,2.360279,3.100508,0.288419,1.067669,1.977166,0.000000,0.262430
0.015000,2.375927,3.104842,0.304657,1.097327,1.977166,0.000000,0.277855
0.015000,2.391933,3.109544,0.321339,1.126984,1.977166,-0.000000,0.293653
0.015000,2.408286,3.114634,0.338466,1.156642,1.977166,0.000000,0.309803
0.015000,2.424976,3.120129,0.356038,1.186299,1.977166,0.000000,0.326278
0.015000,2.441993,3.126047,0.374055,1.215957,1.977166,-0.000000,0.343051
0.015000,2.459326,3.132404,0.392517,1.245614,1.977166,0.000000,0.360091
0.015000,2.476961,3.139219,0.411423,1.275272,1.977166,-0.000000,0.377363
0.015000,2.494888,3.146507,0.430775,1.304929,1.977166,0.000000,0.394832
0.015000,2.513093,3.154282,0.450571,1.334587,1.977166,-0.000000,0.412459
0.015000,2.531563,3.162561,0.470813,1.364244,1.977166,0.000000,0.430203
0.015000,2.550286,3.171356,0.491499,1.393902,1.977166,-0.000000,0.448020
0.015000,2.569249,3.180679,0.512630,1.423559,1.977166,0.000000,0.465868
0.015000,2.588438,3.190543,0.534205,1.453217,1.977166,-0.000000,0.483700
0.015000,2.607840,3.200957,0.556226,1.482874,1.977166,0.000000,0.501469
0.015000,2.627442,3.211931,0.578692,1.512532,1.977166,-0.000000,0.519130
0.015000,2.647233,3.223472,0.601602,1.542189,1.977166,0.000000,0.536635
0.015000,2.667201,3.235586,0.624957,1.571847,1.977166,-0.000000,0.553938
0.015000,2.687333,3.248279,0.648757,1.601504,1.977166,0.000000,0.570993
0.015000,2.707621,3.261554,0.673002,1.631162,1.977166,-0.000000,0.587756
0.015000,2.728053,3.275414,0.697692,1.660819,1.977166,0.000000,0.604183
0.015000,2.748622,3.289859,0.722827,1.690477,1.977166,0.000000,0.620232
0.015000,2.769319,3.304890,0.748407,1.720134,1.977166,0.000000,0.635864
0.015000,2.790138,3.320504,0.774431,1.749792,1.977166,-0.000000,0.651040
0.015000,2.811074,3.336700,0.800900,1.779449,1.977166,0.000000,0.665724
0.015000,2.832122,3.353474,0.827815,1.809107,1.977166,0.000000,0.679883
0.015000,2.853279,3.370820,0.855174,1.838764,1.977166,0.000000,0.693484
0.015000,2.874543,3.388733,0.882977,1.868422,1.977166,-0.000000,0.706498
0.015000,2.895915,3.407206,0.911226,1.898079,1.977166,0.000000,0.718895
0.015000,2.917395,3.426230,0.939920,1.927737,1.977166,-0.000000,0.730649
0.015000,2.938986,3.445797,0.969058,1.957394,1.977166,0.000000,0.741734
0.015000,2.960692,3.465897,0.998642,1.987051,1.977166,0.000000,0.752128
0.015000,2.982518,3.486520,1.028670,2.016709,1.977166,-0.000000,0.761805
0.015000,3.004473,3.507653,1.059143,2.046366,1.977166,0.000000,0.770744
0.015000,3.026563,3.529285,1.090061,2.076024,1.977166,-0.000000,0.778922
0.015000,3.048800,3.551401,1.121424,2.105681,1.977166,0.000000,0.786317
0.015000,3.071194,3.573989,1.153231,2.135339,1.977166,-0.000000,0.792906
0.015000,3.093760,3.597032,1.185484,2.164996,1.977166,0.000000,0.798665
0.015000,3.116513,3.620515,1.218181,2.194654,1.977166,0.000000,0.803571
0.015000,3.139468,3.644420,1.251323,2.224311,1.977166,-0.000000,0.807597
0.015000,3.162645,3.668729,1.284911,2.253969,1.977166,0.000000,0.810715
0.015000,3.186063,3.693422,1.318942,2.283626,1.977166,0.000000,0.812897
0.015000,3.209695,3.718425,1.353345,2.303398,1.318110,-43.937015,0.814107
0.015000,3.233427,3.743570,1.387921,2.306677,0.218597,-73.300873,0.814319
0.015000,3.257098,3.768636,1.422397,2.290184,-1.099513,-87.874029,0.813528
0.015000,3.280580,3.793438,1.456552,2.263806,-1.758568,-43.937015,0.811756
0.015000,3.303828,3.817882,1.490287,2.234148,-1.977166,-14.573157,0.809035
0.015000,3.326847,3.841931,1.523577,2.204491,-1.977166,0.000000,0.805397
0.015000,3.349654,3.865566,1.556422,2.174833,-1.977166,-0.000000,0.800869
0.015000,3.372268,3.888769,1.588822,2.145176,-1.977166,0.000000,0.795480
0.015000,3.394704,3.911523,1.620777,2.115518,-1.977166,0.000000,0.789253
0.015000,3.416976,3.933814,1.652287,2.085861,-1.977166,0.000000,0.782212
0.015000,3.439097,3.955625,1.683353,2.056203,-1.977166,-0.000000,0.774382
0.015000,3.461076,3.976945,1.713973,2.026546,-1.977166,0.000000,0.765783
0.015000,3.482924,3.997759,1.744149,1.996888,-1.977166,0.000000,0.756438
0.015000,3.504648,4.018057,1.773880,1.967231,-1.977166,-0.000000,0.746371
0.015000,3.526253,4.037827,1.803166,1.937573,-1.977166,0.000000,0.735604
0.015000,3.547746,4.057059,1.832007,1.907916,-1.977166,0.000000,0.724160
0.015000,3.569128,4.075744,1.860403,1.878258,-1.977166,-0.000000,0.712065
0.015000,3.590402,4.093874,1.888355,1.848601,-1.977166,0.000000,0.699344
0.015000,3.611568,4.111441,1.915861,1.818943,-1.977166,-0.000000,0.686026
0.015000,3.632625,4.128439,1.942923,1.789286,-1.977166,0.000000,0.672139
0.015000,3.653570,4.144863,1.969540,1.759628,-1.977166,-0.000000,0.657715
0.015000,3.674400,4.160709,1.995712,1.729971,-1.977166,0.000000,0.642786
0.015000,3.695110,4.175972,2.021439,1.700314,-1.977166,-0.000000,0.627389
0.015000,3.715693,4.190652,2.046721,1.670656,-1.977166,-0.000000,0.611560
0.015000,3.736143,4.204748,2.071559,1.640999,-1.977166,0.000000,0.595337
0.015000,3.756451,4.218260,2.095951,1.611341,-1.977166,0.000000,0.578763
0.015000,3.776607,4.231191,2.119899,1.581684,-1.977166,-0.000000,0.561878
0.015000,3.796602,4.243542,2.143402,1.552026,-1.977166,0.000000,0.544728
0.015000,3.816425,4.255319,2.166460,1.522369,-1.977166,-0.000000,0.527357
0.015000,3.836065,4.266528,2.189073,1.492711,-1.977166,0.000000,0.509811
0.015000,3.855508,4.277176,2.211241,1.463054,-1.977166,0.000000,0.492138
0.015000,3.874743,4.287270,2.232965,1.433396,-1.977166,0.000000,0.474382
0.015000,3.893757,4.296822,2.254243,1.403739,-1.977166,-0.000000,0.456591
0.015000,3.912537,4.305841,2.275077,1.374081,-1.977166,0.000000,0.438810
0.015000,3.931070,4.314340,2.295465,1.344424,-1.977166,0.000000,0.421084
0.015000,3.949342,4.322332,2.315409,1.314766,-1.977166,0.000000,0.403457
0.015000,3.967341,4.329830,2.334908,1.285109,-1.977166,-0.000000,0.385969
0.015000,3.985055,4.336850,2.353963,1.255451,-1.977166,0.000000,0.368661
0.015000,4.002470,4.343408,2.372572,1.225794,-1.977166,-0.000000,0.351569
0.015000,4.019575,4.349520,2.390736,1.196136,-1.977166,0.000000,0.334729
0.015000,4.036359,4.355202,2.408456,1.166479,-1.977166,-0.000000,0.318172
0.015000,4.052810,4.360473,2.425731,1.136821,-1.977166,0.000000,0.301928
0.015000,4.068917,4.365350,2.442561,1.107164,-1.977166,0.000000,0.286023
0.015000,4.084672,4.369850,2.458946,1.077506,-1.977166,0.000000,0.270481
0.015000,4.100064,4.373993,2.474886,1.047849,-1.977166,0.000000,0.255322
0.015000,4.115086,4.377795,2.490381,1.018191,-1.977166,-0.000000,0.240565
0.015000,4.129728,4.381276,2.505432,0.988534,-1.977166,0.000000,0.226226
0.015000,4.143983,4.384453,2.520037,0.958876,-1.977166,0.000000,0.212316
0.015000,4.157846,4.387344,2.534198,0.929219,-1.977166,-0.000000,0.198848
0.015000,4.171309,4.389966,2.547914,0.899561,-1.977166,0.000000,0.185828
0.015000,4.184366,4.392336,2.561185,0.869904,-1.977166,-0.000000,0.173264
0.015000,4.197013,4.394470,2.574011,0.840246,-1.977166,0.000000,0.161161
0.015000,4.209246,4.396386,2.586392,0.810589,-1.977166,0.000000,0.149519
0.015000,4.221059,4.398098,2.598329,0.780931,-1.977166,-0.000000,0.138343
0.015000,4.232449,4.399622,2.609820,0.751274,-1.977166,0.000000,0.127630
0.015000,4.243412,4.400971,2.620867,0.721617,-1.977166,0.000000,0.117381
0.015000,4.253947,4.402161,2.631469,0.691959,-1.977166,0.000000,0.107594
0.015000,4.264051,4.403205,2.641626,0.662302,-1.977166,-0.000000,0.098265
0.015000,4.273720,4.404115,2.651338,0.632644,-1.977166,0.000000,0.089392
0.015000,4.282953,4.404903,2.660605,0.602987,-1.977166,-0.000000,0.080969
0.015000,4.291749,4.405582,2.669427,0.573329,-1.977166,0.000000,0.072994
0.015000,4.300107,4.406161,2.677805,0.543672,-1.977166,0.000000,0.065460
0.015000,4.308024,4.406652,2.685737,0.514014,-1.977166,0.000000,0.058363
0.015000,4.315500,4.407064,2.693225,0.484357,-1.977166,0.000000,0.051699
0.015000,4.322535,4.407406,2.700268,0.454699,-1.977166,0.000000,0.045462
0.015000,4.329128,4.407686,2.706866,0.425042,-1.977166,0.000000,0.039646
0.015000,4.335277,4.407914,2.713019,0.395384,-1.977166,-0.000000,0.034248
0.015000,4.340982,4.408095,2.718728,0.365727,-1.977166,0.000000,0.029262
0.015000,4.346243,4.408237,2.723991,0.336069,-1.977166,-0.000000,0.024684
0.015000,4.351061,4.408346,2.728810,0.306412,-1.977166,0.000000,0.020509
0.015000,4.355433,4.408427,2.733184,0.276754,-1.977166,0.000000,0.016732
0.015000,4.359362,4.408486,2.737112,0.247097,-1.977166,-0.000000,0.013351
0.015000,4.362846,4.408528,2.740596,0.217439,-1.977166,0.000000,0.010362
0.015000,4.365885,4.408555,2.743636,0.187782,-1.977166,-0.000000,0.007761
0.015000,4.368479,4.408572,2.746230,0.158124,-1.977166,0.000000,0.005546
0.015000,4.370628,4.408582,2.748379,0.128467,-1.977166,0.000000,0.003715
0.015000,4.372333,4.408587,2.750084,0.098809,-1.977166,-0.000000,0.002265
0.015000,4.373593,4.408590,2.751344,0.069152,-1.977166,0.000000,0.001195
0.015000,4.374408,4.408590,2.752158,0.039494,-1.977166,-0.000000,0.000503
0.015000,4.374827,4.408590,2.752578,0.016444,-1.536708,29.363858,0.000146
0.015000,4.374975,4.408590,2.752726,0.003279,-0.877653,43.937015,0.000021
0.015000,4.375000,4.408590,2.752750,0.000000,-0.218597,43.937015,0.000000
0.015000,4.375000,4.408590,2.752750,0.000000,0.000000,14.573157,0.000000
