dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.077241,2.718999,0.000074,0.009886,0.659055,43.937015,6.280634
0.015000,2.077328,2.718999,0.000161,0.005780,-0.273709,-62.184262,6.280885
0.015000,2.077523,2.718999,0.000356,0.013008,0.481829,50.369201,6.281450
0.015000,2.077848,2.718998,0.000681,0.021686,0.578565,6.449064,6.282393
0.015000,2.078927,2.718998,0.001761,0.071955,3.351239,184.844940,0.000529
0.015000,2.081516,2.719002,0.004349,0.172560,6.707004,223.717647,0.002229
0.015000,2.084681,2.719012,0.007514,0.211024,2.564309,-276.179696,0.004312
0.015000,2.088424,2.719033,0.011257,0.249496,2.564779,0.031345,0.006778
0.015000,2.092744,2.719069,0.015577,0.288040,2.569593,0.320926,0.009630
0.015000,2.097643,2.719124,0.020477,0.326639,2.573270,0.245149,0.012873
0.015000,2.103124,2.719204,0.025958,0.365390,2.583411,0.676050,0.016509
0.015000,2.109185,2.719316,0.032020,0.404141,2.583371,-0.002674,0.020541
0.015000,2.115829,2.719468,0.038666,0.443052,2.594070,0.713295,0.024975
0.015000,2.123056,2.719666,0.045896,0.482006,2.596963,0.192837,0.029814
0.015000,2.130868,2.719919,0.053712,0.521096,2.605991,0.601882,0.035063
0.015000,2.139267,2.720238,0.062117,0.560299,2.613552,0.504053,0.040726
0.015000,2.148252,2.720631,0.071111,0.599594,2.619641,0.405941,0.046809
0.015000,2.157826,2.721111,0.080696,0.639026,2.628813,0.611464,0.053317
0.015000,2.167988,2.721688,0.090875,0.678581,2.637011,0.546576,0.060255
0.015000,2.178740,2.722377,0.101649,0.718259,2.645205,0.546263,0.067629
0.015000,2.190081,2.723190,0.113019,0.758027,2.651179,0.398225,0.075442
0.015000,2.202012,2.724141,0.124988,0.797921,2.659561,0.558845,0.083701
0.015000,2.214532,2.725246,0.137556,0.837907,2.665774,0.414197,0.092409
0.015000,2.227640,2.726521,0.150727,0.878026,2.674619,0.589664,0.101571
0.015000,2.241336,2.727984,0.164500,0.918205,2.678599,0.265303,0.111191
0.015000,2.255616,2.729651,0.178877,0.958483,2.685152,0.436879,0.121273
0.015000,2.270478,2.731542,0.193859,0.998785,2.686808,0.110389,0.131817
0.015000,2.285918,2.733676,0.209446,1.039135,2.690002,0.212939,0.142827
0.015000,2.301932,2.736072,0.225638,1.079483,2.689885,-0.007782,0.154301
0.015000,2.318515,2.738753,0.242436,1.119853,2.691314,0.095278,0.166241
0.015000,2.335658,2.741739,0.259838,1.160126,2.684848,-0.431119,0.178643
0.015000,2.353356,2.745052,0.277843,1.200365,2.682662,-0.145674,0.191505
0.015000,2.371599,2.748715,0.296450,1.240436,2.671363,-0.753268,0.204819
0.015000,2.390375,2.752751,0.315655,1.280340,2.660251,-0.740836,0.218580
0.015000,2.409674,2.757181,0.335456,1.320044,2.646953,-0.886528,0.232777
0.015000,2.429481,2.762030,0.355848,1.359468,2.628282,-1.244704,0.247398
0.015000,2.449781,2.767320,0.376826,1.398556,2.605883,-1.493300,0.262430
0.015000,2.470558,2.773074,0.398385,1.437252,2.579688,-1.746299,0.277855
0.015000,2.491793,2.779312,0.420517,1.475505,2.550199,-1.965945,0.293653
