dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.078477,2.095000,0.000075,0.009971,0.664765,44.317639,6.281804
0.015000,2.078398,2.095000,0.000153,0.005242,-0.315282,-65.336452,6.282031
0.015000,2.078221,2.095000,0.000330,0.011799,0.437143,50.161682,6.282544
0.015000,2.078207,2.095000,0.000344,0.000907,-0.726137,-77.551974,0.000215
0.015000,2.079364,2.095001,0.001500,0.077097,5.079318,387.030336,0.001415
0.015000,2.080850,2.095004,0.002986,0.099046,1.463259,-241.070599,0.002961
0.015000,2.082664,2.095011,0.004800,0.120929,1.458842,-0.294470,0.004858
0.015000,2.084804,2.095024,0.006941,0.142703,1.451643,-0.479992,0.007107
0.015000,2.087270,2.095045,0.009407,0.164415,1.447468,-0.278289,0.009713
0.015000,2.090060,2.095076,0.012197,0.185992,1.438443,-0.601680,0.012682
0.015000,2.093171,2.095121,0.015308,0.207442,1.430037,-0.560402,0.016018
0.015000,2.096602,2.095182,0.018740,0.228776,1.422236,-0.520046,0.019729
0.015000,2.100350,2.095264,0.022489,0.249921,1.409631,-0.840348,0.023820
0.015000,2.104412,2.095370,0.026552,0.270904,1.398897,-0.715590,0.028299
0.015000,2.108786,2.095504,0.030928,0.291695,1.386045,-0.856835,0.033175
0.015000,2.113467,2.095672,0.035612,0.312280,1.372339,-0.913681,0.038456
0.015000,2.118452,2.095878,0.040602,0.332639,1.357305,-1.002298,0.044153
0.015000,2.123738,2.096127,0.045893,0.352776,1.342457,-0.989845,0.050276
0.015000,2.129320,2.096427,0.051483,0.372654,1.325181,-1.151788,0.056835
0.015000,2.135193,2.096781,0.057367,0.392242,1.305889,-1.286068,0.063842
0.015000,2.141352,2.097198,0.063540,0.411573,1.288729,-1.144060,0.071309
0.015000,2.147793,2.097684,0.069999,0.430598,1.268328,-1.360018,0.079250
0.015000,2.154509,2.098246,0.076739,0.449316,1.247848,-1.365366,0.087679
0.015000,2.161495,2.098891,0.083754,0.467696,1.225345,-1.500181,0.096608
0.015000,2.168744,2.099628,0.091041,0.485753,1.203821,-1.434920,0.106053
0.015000,2.176249,2.100465,0.098593,0.503465,1.180805,-1.534401,0.116029
0.015000,2.184004,2.101410,0.106405,0.520825,1.157294,-1.567433,0.126550
0.015000,2.192002,2.102472,0.114473,0.537833,1.133888,-1.560355,0.137632
0.015000,2.200234,2.103661,0.122790,0.554492,1.110570,-1.554560,0.149291
0.015000,2.208692,2.104986,0.131352,0.570782,1.086033,-1.635786,0.161541
0.015000,2.217370,2.106458,0.140153,0.586754,1.064794,-1.415935,0.174399
0.015000,2.226257,2.108085,0.149189,0.602380,1.041723,-1.538093,0.187877
0.015000,2.235348,2.109880,0.158454,0.617706,1.021740,-1.332175,0.201990
0.015000,2.244632,2.111852,0.167945,0.632740,1.002269,-1.298111,0.216750
0.015000,2.254101,2.114014,0.177658,0.647529,0.985921,-1.089806,0.232167
0.015000,2.263748,2.116376,0.187590,0.662121,0.972787,-0.875654,0.248251
0.015000,2.273564,2.118952,0.197739,0.676560,0.962593,-0.679545,0.265007
0.015000,2.283542,2.121753,0.208102,0.690919,0.957322,-0.351421,0.282439
0.015000,2.293675,2.124793,0.218681,0.705269,0.956628,-0.046285,0.300548
0.015000,2.303956,2.128086,0.229477,0.719706,0.962495,0.391141,0.319330
0.015000,2.314380,2.131645,0.240492,0.734326,0.974684,0.812569,0.338778
0.015000,2.324942,2.135486,0.251730,0.749243,0.994463,1.318622,0.358877
0.015000,2.335638,2.139625,0.263199,0.764583,1.022634,1.878066,0.379609
0.015000,2.346464,2.144079,0.274906,0.780478,1.059644,2.467347,0.400951
0.015000,2.357421,2.148865,0.286863,0.797077,1.106657,3.134168,0.422872
0.015000,2.368505,2.154004,0.299081,0.814530,1.163525,3.791255,0.445335
0.015000,2.379719,2.159516,0.311575,0.832979,1.229919,4.426258,0.468296
0.015000,2.391062,2.165421,0.324364,0.852591,1.307431,5.167451,0.491705
0.015000,2.402538,2.171745,0.337467,0.873508,1.394498,5.804493,0.515505
0.015000,2.414149,2.178510,0.350905,0.895866,1.490548,6.403322,0.539634
0.015000,2.425898,2.185744,0.364702,0.919802,1.595686,7.009176,0.564023
0.015000,2.437788,2.193472,0.378883,0.945417,1.707709,7.468227,0.588598
0.015000,2.449823,2.201723,0.393475,0.972805,1.825824,7.874312,0.613283
0.015000,2.462006,2.210526,0.408505,1.002027,1.948155,8.155415,0.637999
0.015000,2.474339,2.219910,0.424002,1.033123,2.073051,8.326397,0.662663
0.015000,2.486824,2.229903,0.439994,1.066101,2.198557,8.367066,0.687194
0.015000,2.499460,2.240534,0.456508,1.100944,2.322835,8.285186,0.711510
0.015000,2.512248,2.251832,0.473572,1.137604,2.444058,8.081549,0.735533
0.015000,2.525186,2.263824,0.491212,1.176014,2.560650,7.772807,0.759187
0.015000,2.538270,2.276534,0.509453,1.216080,2.671050,7.360008,0.782399
0.015000,2.551497,2.289986,0.528319,1.257692,2.774126,6.871724,0.805103
0.015000,2.564860,2.304202,0.547830,1.300728,2.869078,6.330095,0.827236
0.015000,2.578356,2.319200,0.568005,1.345051,2.954880,5.720120,0.848743
0.015000,2.591975,2.334997,0.588863,1.390529,3.031853,5.131533,0.869574
0.015000,2.605714,2.351607,0.610419,1.437021,3.099474,4.508103,0.889683
0.015000,2.619564,2.369041,0.632685,1.484391,3.157973,3.899950,0.909034
0.015000,2.633519,2.387309,0.655672,1.532516,3.208330,3.357104,0.927593
0.015000,2.647573,2.406415,0.679391,1.581271,3.250373,2.802859,0.945333
0.015000,2.661723,2.426365,0.703850,1.630550,3.285273,2.326667,0.962230
0.015000,2.675963,2.447161,0.729054,1.680260,3.313983,1.914010,0.978268
0.015000,2.690292,2.468802,0.755008,1.730320,3.337296,1.554239,0.993429
0.015000,2.704708,2.491287,0.781718,1.780655,3.355691,1.226310,1.007703
0.015000,2.719212,2.514614,0.809186,1.831220,3.370976,1.019014,1.021079
0.015000,2.733808,2.538777,0.837416,1.881972,3.383528,0.836770,1.033549
0.015000,2.748499,2.563773,0.866409,1.932886,3.394217,0.712584,1.045106
0.015000,2.763293,2.589594,0.896169,1.983949,3.404196,0.665288,1.055744
0.015000,2.778199,2.616235,0.926696,2.035163,3.414308,0.674107,1.065455
0.015000,2.793227,2.643689,0.957994,2.086541,3.425179,0.724787,1.074234
0.015000,2.808393,2.671949,0.990066,2.138106,3.437685,0.833687,1.082071
0.015000,2.823713,2.701006,1.022914,2.189897,3.452745,1.004006,1.088957
0.015000,2.839206,2.730854,1.056544,2.241959,3.470774,1.201974,1.094880
0.015000,2.854895,2.761485,1.090959,2.294354,3.493028,1.483580,1.099826
0.015000,2.870805,2.792892,1.126166,2.347151,3.519751,1.781516,1.103777
0.015000,2.886966,2.825068,1.162173,2.400432,3.552062,2.154085,1.106712
0.015000,2.901643,2.854640,1.195187,2.200931,-13.300040,-1123.473464,1.114588
0.015000,2.916907,2.886089,1.230144,2.330514,8.638859,1462.593277,1.122947
0.015000,2.932261,2.918342,1.265865,2.381369,3.390330,-349.901940,1.129741
0.015000,2.947652,2.951176,1.302128,2.417522,2.410203,-65.341815,1.134955
0.015000,2.963028,2.984363,1.338704,2.438412,1.392648,-67.837001,1.138601
0.015000,2.978372,3.017731,1.375430,2.448440,0.668567,-48.272073,1.140723
0.015000,2.993694,3.051173,1.412215,2.452283,0.256193,-27.491588,1.141377
0.015000,3.009034,3.084648,1.449037,2.454843,0.170650,-5.702882,1.140620
0.015000,3.024431,3.118121,1.485882,2.456312,0.097920,-4.848674,1.138498
0.015000,3.039925,3.151559,1.522735,2.456863,0.036764,-4.077079,1.135051
0.015000,3.055554,3.184930,1.559585,2.456645,-0.014548,-3.420748,1.130313
0.015000,3.071357,3.218205,1.596421,2.455789,-0.057069,-2.834741,1.124312
0.015000,3.087371,3.251356,1.633238,2.454406,-0.092153,-2.338951,1.117070
0.015000,3.103632,3.284355,1.670026,2.452593,-0.120920,-1.917778,1.108606
0.015000,3.120178,3.317177,1.706783,2.450414,-0.145268,-1.623225,1.098936
0.015000,3.137042,3.349794,1.743502,2.447927,-0.165781,-1.367505,1.088073
0.015000,3.154260,3.382179,1.780179,2.445165,-0.184105,-1.221651,1.076030
0.015000,3.171863,3.414304,1.816811,2.442138,-0.201837,-1.182074,1.062818
0.015000,3.189883,3.446141,1.853394,2.438836,-0.220107,-1.218010,1.048448
0.015000,3.208350,3.477658,1.889922,2.435228,-0.240523,-1.361105,1.032935
0.015000,3.227290,3.508823,1.926391,2.431258,-0.264694,-1.611350,1.016294
0.015000,3.246728,3.539601,1.962794,2.426840,-0.294522,-1.988590,0.998543
0.015000,3.266684,3.569957,1.999122,2.421873,-0.331162,-2.442631,0.979708
0.015000,3.287177,3.599851,2.035365,2.416237,-0.375731,-2.971271,0.959817
0.015000,3.308219,3.629241,2.071512,2.409760,-0.431775,-3.736240,0.938907
0.015000,3.329818,3.658085,2.107546,2.402296,-0.497624,-4.389940,0.917021
0.015000,3.351976,3.686337,2.143451,2.393639,-0.577103,-5.298655,0.894210
0.015000,3.374689,3.713949,2.179205,2.383600,-0.669287,-6.145571,0.870535
0.015000,3.397946,3.740875,2.214784,2.371967,-0.775518,-7.082049,0.846065
0.015000,3.421729,3.767066,2.250162,2.358538,-0.895272,-7.983604,0.820878
0.015000,3.446013,3.792475,2.285309,2.343116,-1.028114,-8.856124,0.795061
0.015000,3.470764,3.817055,2.320192,2.325523,-1.172892,-9.651881,0.768708
0.015000,3.495942,3.840765,2.354776,2.305604,-1.327943,-10.336740,0.741920
0.015000,3.521499,3.863563,2.389024,2.283238,-1.491041,-10.873183,0.714804
0.015000,3.547383,3.885417,2.422900,2.258341,-1.659797,-11.250392,0.687470
0.015000,3.573533,3.906296,2.456363,2.230878,-1.830866,-11.404655,0.660029
0.015000,3.599887,3.926179,2.489376,2.200859,-2.001253,-11.359088,0.632593
0.015000,3.626378,3.945049,2.521901,2.168336,-2.168205,-11.130127,0.605270
0.015000,3.652939,3.962899,2.553902,2.133415,-2.328114,-10.660600,0.578166
0.015000,3.679499,3.979729,2.585345,2.096222,-2.479490,-10.091784,0.551377
0.015000,3.705992,3.995544,2.616199,2.056951,-2.618087,-9.239784,0.524996
0.015000,3.732350,4.010359,2.646436,2.015797,-2.743613,-8.368389,0.499104
0.015000,3.758512,4.024194,2.676031,1.972955,-2.856129,-7.501098,0.473773
0.015000,3.784417,4.037074,2.704961,1.928696,-2.950601,-6.298126,0.449067
0.015000,3.810010,4.049031,2.733209,1.883201,-3.033011,-5.494004,0.425038
0.015000,3.835241,4.060098,2.760761,1.836761,-3.095955,-4.196266,0.401728
0.015000,3.860064,4.070314,2.787604,1.789542,-3.147969,-3.467558,0.379170
0.015000,3.884439,4.079720,2.813731,1.741789,-3.183553,-2.372288,0.357389
0.015000,3.908330,4.088356,2.839135,1.693633,-3.210348,-1.786355,0.336400
0.015000,3.931707,4.096267,2.863814,1.645282,-3.223416,-0.871196,0.316213
0.015000,3.954544,4.103494,2.887768,1.596889,-3.226225,-0.187256,0.296829
0.015000,3.976819,4.110081,2.910996,1.548561,-3.221832,0.292863,0.278246
0.015000,3.998514,4.116070,2.933502,1.500430,-3.208763,0.871268,0.260456
0.015000,4.019614,4.121501,2.955290,1.452520,-3.194012,0.983412,0.243448
0.015000,4.040108,4.126415,2.976365,1.404996,-3.168271,1.716064,0.227206
0.015000,4.059988,4.130848,2.996733,1.357843,-3.143511,1.650648,0.211713
0.015000,4.079246,4.134839,3.016400,1.311160,-3.112219,2.086159,0.196950
0.015000,4.097878,4.138420,3.035373,1.264877,-3.085498,1.781425,0.182898
0.015000,4.115882,4.141626,3.053661,1.219142,-3.048996,2.433432,0.169534
0.015000,4.133256,4.144486,3.071269,1.173866,-3.018421,2.038337,0.156838
0.015000,4.150001,4.147031,3.088206,1.129138,-2.981871,2.436704,0.144787
0.015000,4.166117,4.149286,3.104479,1.084863,-2.951665,2.013680,0.133359
0.015000,4.181606,4.151279,3.120095,1.041123,-2.916019,2.376453,0.122533
0.015000,4.196470,4.153032,3.135062,0.997806,-2.887800,1.881259,0.112289
0.015000,4.210713,4.154568,3.149388,0.955036,-2.851286,2.434221,0.102605
0.015000,4.224337,4.155908,3.163078,0.912673,-2.824227,1.803978,0.093461
0.015000,4.237347,4.157071,3.176139,0.870738,-2.795687,1.902670,0.084840
0.015000,4.249745,4.158074,3.188578,0.829260,-2.765141,2.036382,0.076723
0.015000,4.261535,4.158935,3.200400,0.788118,-2.742812,1.488593,0.069093
0.015000,4.272722,4.159669,3.211611,0.747399,-2.714633,1.878631,0.061933
0.015000,4.283309,4.160290,3.222216,0.707020,-2.691905,1.515181,0.055228
0.015000,4.293301,4.160811,3.232221,0.666991,-2.668643,1.550768,0.048964
0.015000,4.302699,4.161244,3.241629,0.627203,-2.652497,1.076418,0.043127
0.015000,4.311508,4.161600,3.250446,0.587773,-2.628660,1.589129,0.037705
0.015000,4.319732,4.161890,3.258675,0.548599,-2.611629,1.135377,0.032686
0.015000,4.327374,4.162122,3.266320,0.509685,-2.594259,1.158033,0.028058
0.015000,4.334436,4.162305,3.273384,0.470955,-2.582003,0.817066,0.023813
0.015000,4.340922,4.162447,3.279872,0.432507,-2.563157,1.256410,0.019940
0.015000,4.346833,4.162554,3.285784,0.394177,-2.555376,0.518706,0.016432
0.015000,4.352174,4.162634,3.291125,0.356061,-2.541059,0.954482,0.013280
0.015000,4.356944,4.162690,3.295896,0.318062,-2.533292,0.517819,0.010479
0.015000,4.361148,4.162729,3.300100,0.280277,-2.518974,0.954487,0.008022
0.015000,4.364786,4.162755,3.303738,0.242530,-2.516469,0.166997,0.005905
0.015000,4.367860,4.162770,3.306813,0.204943,-2.505815,0.710288,0.004121
0.015000,4.370372,4.162779,3.309324,0.167428,-2.500972,0.322874,0.002668
0.015000,4.372322,4.162783,3.311274,0.130005,-2.494843,0.408610,0.001542
0.015000,4.373710,4.162784,3.312662,0.092558,-2.496524,-0.112054,0.000742
0.015000,4.374541,4.162785,3.313493,0.055377,-2.478728,1.186364,0.000264
0.015000,4.374909,4.162785,3.313861,0.024518,-2.057235,28.099539,0.000053
0.015000,4.375000,4.162785,3.313952,0.006098,-1.227984,55.283436,0.000000
0.015000,4.375000,4.162785,3.313952,0.000000,-0.406559,54.761623,0.000000
