dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.078000,1.750000,0.000075,0.009971,0.664765,44.317639,6.281804
0.015000,2.078000,1.750000,0.000374,0.029914,1.329529,44.317639,6.282031
0.015000,2.078000,1.750000,0.001047,0.059829,1.994294,44.317639,6.282544
0.015000,2.078282,1.750000,0.002169,0.089743,1.994294,0.000000,0.000215
0.015000,2.079852,1.750001,0.003739,0.119658,1.994294,0.000000,0.001415
0.015000,2.081871,1.750006,0.005759,0.149572,1.994294,0.000000,0.002961
0.015000,2.084339,1.750015,0.008226,0.179486,1.994294,-0.000000,0.004858
0.015000,2.087256,1.750033,0.011143,0.209401,1.994294,0.000000,0.007107
0.015000,2.090621,1.750061,0.014508,0.239315,1.994294,-0.000000,0.009713
0.015000,2.094435,1.750104,0.018323,0.269230,1.994294,0.000000,0.012682
0.015000,2.098697,1.750165,0.022585,0.299144,1.994294,0.000000,0.016018
0.015000,2.103408,1.750249,0.027297,0.329058,1.994294,0.000000,0.019729
0.015000,2.108567,1.750362,0.032457,0.358973,1.994294,-0.000000,0.023820
0.015000,2.114174,1.750508,0.038066,0.388887,1.994294,0.000000,0.028299
0.015000,2.120229,1.750694,0.044124,0.418802,1.994294,0.000000,0.033175
0.015000,2.126731,1.750927,0.050630,0.448716,1.994294,0.000000,0.038456
0.015000,2.133680,1.751214,0.057585,0.478631,1.994294,-0.000000,0.044153
0.015000,2.141076,1.751563,0.064989,0.508545,1.994294,0.000000,0.050276
0.015000,2.148917,1.751984,0.072842,0.538459,1.994294,0.000000,0.056835
0.015000,2.157203,1.752484,0.081143,0.568374,1.994294,0.000000,0.063842
0.015000,2.165933,1.753075,0.089893,0.598288,1.994294,0.000000,0.071309
0.015000,2.175106,1.753767,0.099091,0.628203,1.994294,0.000000,0.079250
0.015000,2.184720,1.754571,0.108739,0.658117,1.994294,0.000000,0.087679
0.015000,2.194773,1.755500,0.118835,0.688031,1.994294,-0.000000,0.096608
0.015000,2.205264,1.756566,0.129380,0.717946,1.994294,0.000000,0.106053
0.015000,2.216189,1.757784,0.140373,0.747860,1.994294,0.000000,0.116029
0.015000,2.227548,1.759169,0.151816,0.777775,1.994294,-0.000000,0.126550
0.015000,2.239335,1.760735,0.163707,0.807689,1.994294,0.000000,0.137632
0.015000,2.251548,1.762499,0.176046,0.837603,1.994294,0.000000,0.149291
0.015000,2.264182,1.764478,0.188835,0.867518,1.994294,-0.000000,0.161541
0.015000,2.277233,1.766691,0.202072,0.897432,1.994294,0.000000,0.174399
0.015000,2.290695,1.769156,0.215758,0.927347,1.994294,0.000000,0.187877
0.015000,2.304561,1.771894,0.229892,0.957261,1.994294,-0.000000,0.201990
