dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.077523,1.405000,0.000075,0.009971,0.664765,44.317639,6.281804
0.015000,2.077602,1.405000,0.000153,0.005242,-0.315282,-65.336452,6.282031
0.015000,2.077779,1.405000,0.000330,0.011799,0.437143,50.161682,6.282544
0.015000,2.078356,1.405000,0.000907,0.038457,1.777148,89.333632,0.000215
0.015000,2.080340,1.405002,0.002892,0.132287,6.255382,298.548973,0.001415
0.015000,2.082893,1.405007,0.005444,0.170188,2.526742,-248.575989,0.002961
0.015000,2.086015,1.405019,0.008567,0.208157,2.531207,0.297631,0.004858
0.015000,2.089708,1.405042,0.012259,0.246160,2.533593,0.159064,0.007107
0.015000,2.093972,1.405077,0.016524,0.284320,2.543939,0.689721,0.009713
0.015000,2.098810,1.405132,0.021362,0.322550,2.548683,0.316278,0.012682
0.015000,2.104223,1.405209,0.026776,0.360909,2.557285,0.573474,0.016018
0.015000,2.110214,1.405316,0.032768,0.399456,2.569790,0.833681,0.019729
0.015000,2.116784,1.405459,0.039339,0.438108,2.576780,0.465977,0.023820
0.015000,2.123936,1.405646,0.046494,0.476956,2.589918,0.875860,0.028299
0.015000,2.131672,1.405884,0.054233,0.515990,2.602257,0.822647,0.033175
0.015000,2.139995,1.406182,0.062562,0.555231,2.616021,0.917586,0.038456
0.015000,2.148908,1.406550,0.071482,0.594686,2.630362,0.956085,0.044153
0.015000,2.158414,1.406999,0.080998,0.634406,2.647986,1.174901,0.050276
0.015000,2.168515,1.407541,0.091114,0.674368,2.664180,1.079576,0.056835
0.015000,2.179214,1.408187,0.101832,0.714562,2.679566,1.025785,0.063842
0.015000,2.190514,1.408952,0.113159,0.755086,2.701622,1.470402,0.071309
0.015000,2.202419,1.409849,0.125097,0.795893,2.720473,1.256680,0.079250
0.015000,2.214930,1.410896,0.137652,0.837019,2.741704,1.415404,0.087679
0.015000,2.228051,1.412108,0.150829,0.878441,2.761494,1.319374,0.096608
0.015000,2.241783,1.413505,0.164632,0.920219,2.785176,1.578775,0.106053
0.015000,2.256129,1.415104,0.179067,0.962336,2.807788,1.507486,0.116029
0.015000,2.271091,1.416928,0.194139,1.004797,2.830745,1.530434,0.126550
0.015000,2.286668,1.418997,0.209853,1.047617,2.854672,1.595176,0.137632
0.015000,2.302862,1.421336,0.226215,1.090801,2.878906,1.615568,0.149291
0.015000,2.319672,1.423970,0.243230,1.134301,2.900056,1.410043,0.161541
0.015000,2.337096,1.426924,0.260903,1.178194,2.926144,1.739197,0.174399
0.015000,2.355132,1.430227,0.279239,1.222382,2.945882,1.315857,0.187877
0.015000,2.373775,1.433908,0.298242,1.266899,2.967830,1.463158,0.201990
0.015000,2.393021,1.437997,0.317917,1.311679,2.985315,1.165709,0.216750
0.015000,2.412861,1.442526,0.338268,1.356709,3.002006,1.112707,0.232167
0.015000,2.433286,1.447529,0.359297,1.401953,3.016270,0.950936,0.248251
0.015000,2.454286,1.453039,0.381007,1.447335,3.025445,0.611698,0.265007
0.015000,2.475844,1.459092,0.403399,1.492807,3.031460,0.400997,0.282439
0.015000,2.497945,1.465723,0.426473,1.538274,3.031161,-0.019982,0.300548
0.015000,2.520568,1.472968,0.450228,1.583669,3.026301,-0.323968,0.319330
0.015000,2.543691,1.480863,0.474662,1.628875,3.013774,-0.835157,0.338778
0.015000,2.567285,1.489444,0.499768,1.673782,2.993778,-1.333040,0.358877
0.015000,2.591322,1.498746,0.525542,1.718267,2.965640,-1.875903,0.379609
0.015000,2.615767,1.508802,0.551975,1.762189,2.928134,-2.500402,0.400951
0.015000,2.640584,1.519645,0.579056,1.805419,2.882023,-3.074044,0.422872
0.015000,2.665730,1.531302,0.606773,1.847803,2.825626,-3.759774,0.445335
0.015000,2.691162,1.543802,0.635111,1.889165,2.757471,-4.543701,0.468296
0.015000,2.716832,1.557166,0.664052,1.929384,2.681228,-5.082823,0.491705
0.015000,2.742691,1.571415,0.693576,1.968298,2.594280,-5.796587,0.515505
0.015000,2.768686,1.586561,0.723663,2.005756,2.497202,-6.471833,0.539634
0.015000,2.794765,1.602617,0.754287,2.041652,2.393043,-6.943964,0.564023
0.015000,2.820873,1.619585,0.785425,2.075861,2.280593,-7.496667,0.588598
0.015000,2.846957,1.637467,0.817050,2.108300,2.162639,-7.863599,0.613283
0.015000,2.872963,1.656257,0.849133,2.138904,2.040250,-8.159256,0.637999
0.015000,2.898840,1.675943,0.881648,2.167636,1.915484,-8.317738,0.662663
0.015000,2.924539,1.696512,0.914565,2.194486,1.790010,-8.364940,0.687194
0.015000,2.950015,1.717944,0.947857,2.219473,1.665771,-8.282560,0.711510
0.015000,2.975226,1.740216,0.981497,2.242641,1.544518,-8.083550,0.735533
0.015000,3.000135,1.763301,1.015458,2.264062,1.428063,-7.763645,0.759187
0.015000,3.024709,1.787169,1.049715,2.283826,1.317637,-7.361726,0.782399
0.015000,3.048919,1.811791,1.084246,2.302045,1.214561,-6.871751,0.805103
0.015000,3.072744,1.837132,1.119028,2.318844,1.119933,-6.308548,0.827236
0.015000,3.096166,1.863161,1.154044,2.334348,1.033623,-5.754025,0.848743
0.015000,3.119173,1.889842,1.189274,2.348704,0.957068,-5.103631,0.869574
0.015000,3.141756,1.917143,1.224705,2.362045,0.889432,-4.509061,0.889683
0.015000,3.163912,1.945031,1.260322,2.374504,0.830550,-3.925493,0.909034
0.015000,3.185642,1.973473,1.296116,2.386216,0.780856,-3.312908,0.927593
0.015000,3.206951,2.002439,1.332075,2.397294,0.738491,-2.824369,0.945333
0.015000,3.227846,2.031898,1.368193,2.407845,0.703405,-2.339027,0.962230
0.015000,3.248340,2.061823,1.404462,2.417968,0.674904,-1.900111,0.978268
0.015000,3.268445,2.092186,1.440878,2.427747,0.651896,-1.533818,0.993429
0.015000,3.288177,2.122962,1.477437,2.437239,0.632816,-1.272037,1.007703
0.015000,3.307556,2.154126,1.514135,2.446508,0.617921,-0.993008,1.021079
0.015000,3.326601,2.185654,1.550969,2.455590,0.605474,-0.829777,1.033549
0.015000,3.345334,2.217524,1.587936,2.464508,0.594520,-0.730276,1.045106
0.015000,3.363777,2.249714,1.625035,2.473276,0.584521,-0.666598,1.055744
0.015000,3.381955,2.282202,1.662264,2.481895,0.574590,-0.662051,1.065455
0.015000,3.399893,2.314969,1.699619,2.490349,0.563662,-0.728553,1.074234
0.015000,3.417616,2.347993,1.737098,2.498615,0.551045,-0.841090,1.082071
