dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.893000,4.653000,0.000075,0.009996,0.666380,44.425349,4.712954
0.015000,2.893000,4.653000,0.000375,0.029987,1.332760,44.425349,4.712888
0.015000,2.893000,4.653000,0.001050,0.059974,1.999141,44.425349,4.712740
0.015000,2.893000,4.653000,0.002174,0.089961,1.999141,0.000000,4.712493
0.015000,2.893000,4.651898,0.003748,0.119948,1.999141,0.000000,4.712146
0.015000,2.892999,4.649874,0.005773,0.149936,1.999141,0.000000,4.711700
0.015000,2.892997,4.647400,0.008246,0.179923,1.999141,0.000000,4.711152
0.015000,2.892992,4.644476,0.011170,0.209910,1.999141,0.000000,4.710503
0.015000,2.892984,4.641103,0.014544,0.239897,1.999141,0.000000,4.709751
0.015000,2.892973,4.637279,0.018367,0.269884,1.999141,0.000000,4.708894
0.015000,2.892956,4.633006,0.022640,0.299871,1.999141,0.000000,4.707931
0.015000,2.892932,4.628283,0.027363,0.329858,1.999141,0.000000,4.706861
0.015000,2.892900,4.623111,0.032536,0.359845,1.999141,0.000000,4.705680
0.015000,2.892859,4.617488,0.038159,0.389832,1.999141,0.000000,4.704388
0.015000,2.892806,4.611416,0.044231,0.419820,1.999141,0.000000,4.702981
0.015000,2.892740,4.604894,0.050753,0.449807,1.999141,0.000000,4.701457
0.015000,2.892658,4.597923,0.057725,0.479794,1.999141,-0.000000,4.699814
0.015000,2.892558,4.590501,0.065147,0.509781,1.999141,0.000000,4.698047
0.015000,2.892438,4.582631,0.073019,0.539768,1.999141,-0.000000,4.696154
0.015000,2.892294,4.574311,0.081340,0.569755,1.999141,0.000000,4.694131
0.015000,2.892125,4.565541,0.090111,0.599742,1.999141,-0.000000,4.691973
0.015000,2.891926,4.556322,0.099332,0.629729,1.999141,0.000000,4.689678
0.015000,2.891694,4.546654,0.109003,0.659716,1.999141,-0.000000,4.687239
0.015000,2.891427,4.536537,0.119124,0.689704,1.999141,0.000000,4.684653
0.015000,2.891119,4.525971,0.129694,0.719691,1.999141,-0.000000,4.681914
0.015000,2.890768,4.514956,0.140715,0.749678,1.999141,0.000000,4.679017
0.015000,2.890367,4.503493,0.152185,0.779665,1.999141,0.000000,4.675954
0.015000,2.889914,4.491582,0.164104,0.809652,1.999141,0.000000,4.672722
0.015000,2.889402,4.479223,0.176474,0.839639,1.999141,-0.000000,4.669311
0.015000,2.888827,4.466416,0.189294,0.869626,1.999141,0.000000,4.665715
0.015000,2.888183,4.453163,0.202563,0.899613,1.999141,0.000000,4.661927
0.015000,2.887464,4.439462,0.216282,0.929600,1.999141,-0.000000,4.657938
0.015000,2.886663,4.425316,0.230451,0.959588,1.999141,0.000000,4.653739
0.015000,2.885774,4.410725,0.245070,0.989575,1.999141,0.000000,4.649320
0.015000,2.884790,4.395688,0.260138,1.019562,1.999141,0.000000,4.644672
0.015000,2.883702,4.380208,0.275657,1.049549,1.999141,-0.000000,4.639784
0.015000,2.882503,4.364285,0.291625,1.079536,1.999141,0.000000,4.634644
0.015000,2.881184,4.347920,0.308043,1.109523,1.999141,0.000000,4.629241
0.015000,2.879735,4.331115,0.324910,1.139510,1.999141,0.000000,4.623560
0.015000,2.878148,4.313870,0.342228,1.169497,1.999141,-0.000000,4.617588
