dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.079002,3.408997,0.000074,0.009886,0.659055,43.937015,6.280634
0.015000,2.078915,3.408997,0.000161,0.005780,-0.273709,-62.184262,6.280885
0.015000,2.078720,3.408998,0.000356,0.013008,0.481829,50.369201,6.281450
0.015000,2.078395,3.408998,0.000681,0.021686,0.578565,6.449064,6.282393
0.015000,2.078562,3.408998,0.000849,0.011187,-0.699944,-85.233946,0.000529
0.015000,2.079978,3.409000,0.002264,0.094346,5.543953,416.259823,0.002229
0.015000,2.081706,3.409006,0.003993,0.115239,1.392865,-276.739218,0.004312
0.015000,2.083747,3.409017,0.006034,0.136055,1.387695,-0.344695,0.006778
0.015000,2.086099,3.409037,0.008386,0.156814,1.383974,-0.248044,0.009630
0.015000,2.088761,3.409066,0.011048,0.177495,1.378745,-0.348600,0.012873
0.015000,2.091733,3.409110,0.014020,0.198138,1.376174,-0.171374,0.016509
0.015000,2.095012,3.409171,0.017300,0.218647,1.367279,-0.593012,0.020541
0.015000,2.098598,3.409253,0.020887,0.239099,1.363462,-0.254467,0.024975
0.015000,2.102488,3.409359,0.024778,0.259420,1.354752,-0.580705,0.029814
0.015000,2.106680,3.409495,0.028973,0.279652,1.348759,-0.399517,0.035063
0.015000,2.111174,3.409665,0.033469,0.299774,1.341469,-0.486017,0.040726
0.015000,2.115966,3.409875,0.038266,0.319769,1.332998,-0.564734,0.046809
0.015000,2.121054,3.410130,0.043361,0.339657,1.325899,-0.473276,0.053317
0.015000,2.126437,3.410436,0.048752,0.359429,1.318137,-0.517405,0.060255
0.015000,2.132111,3.410800,0.054438,0.379085,1.310390,-0.516510,0.067629
0.015000,2.138075,3.411227,0.060418,0.398610,1.301668,-0.581457,0.075442
0.015000,2.144326,3.411725,0.066688,0.418029,1.294611,-0.470489,0.083701
0.015000,2.150860,3.412302,0.073248,0.437335,1.287026,-0.505624,0.092409
0.015000,2.157677,3.412965,0.080096,0.456560,1.281668,-0.357199,0.101571
0.015000,2.164772,3.413723,0.087232,0.475683,1.274898,-0.451361,0.111191
0.015000,2.172143,3.414583,0.094653,0.494747,1.270882,-0.267734,0.121273
0.015000,2.179787,3.415556,0.102359,0.513738,1.266072,-0.320675,0.131817
0.015000,2.187702,3.416650,0.110349,0.532700,1.264139,-0.128838,0.142827
0.015000,2.195886,3.417874,0.118624,0.551644,1.262953,-0.079055,0.154301
0.015000,2.204336,3.419240,0.127183,0.570625,1.265388,0.162315,0.166241
0.015000,2.213049,3.420758,0.136028,0.589630,1.267035,0.109793,0.178643
0.015000,2.222024,3.422438,0.145159,0.608748,1.274518,0.498883,0.191505
0.015000,2.231259,3.424293,0.154579,0.627970,1.281456,0.462504,0.204819
0.015000,2.240753,3.426333,0.164289,0.647365,1.293000,0.769622,0.218580
0.015000,2.250504,3.428572,0.174294,0.666990,1.308360,1.023988,0.232777
0.015000,2.260512,3.431022,0.184597,0.686885,1.326325,1.197659,0.247398
0.015000,2.270776,3.433696,0.195204,0.707107,1.348094,1.451299,0.262430
0.015000,2.281296,3.436609,0.206120,0.727716,1.373958,1.724242,0.277855
0.015000,2.292072,3.439776,0.217351,0.748783,1.404437,2.031948,0.293653
0.015000,2.303105,3.443210,0.228907,0.770362,1.438639,2.280102,0.309803
0.015000,2.314397,3.446927,0.240795,0.792523,1.477372,2.582245,0.326278
0.015000,2.325949,3.450944,0.253025,0.815341,1.521193,2.921344,0.343051
0.015000,2.337762,3.455278,0.265608,0.838865,1.568280,3.139144,0.360091
0.015000,2.349839,3.459945,0.278555,0.863164,1.619942,3.444152,0.377363
0.015000,2.362182,3.464963,0.291880,0.888299,1.675680,3.715854,0.394832
0.015000,2.374795,3.470350,0.305595,0.914328,1.735291,3.974080,0.412459
0.015000,2.387679,3.476125,0.319714,0.941298,1.797977,4.179049,0.430203
0.015000,2.400839,3.482306,0.334253,0.969251,1.863506,4.368618,0.448020
0.015000,2.414275,3.488913,0.349226,0.998222,1.931445,4.529239,0.465868
0.015000,2.427993,3.495965,0.364650,1.028242,2.001338,4.659562,0.483700
0.015000,2.441993,3.503480,0.380540,1.059328,2.072371,4.735566,0.501469
0.015000,2.456279,3.511478,0.396912,1.091490,2.144135,4.784226,0.519130
0.015000,2.470853,3.519976,0.413783,1.124728,2.215876,4.782715,0.536635
0.015000,2.485717,3.528995,0.431168,1.159034,2.287058,4.745495,0.553938
0.015000,2.500872,3.538550,0.449084,1.194392,2.357189,4.675372,0.570993
0.015000,2.516320,3.548658,0.467546,1.230777,2.425689,4.566685,0.587756
0.015000,2.532062,3.559337,0.486568,1.268160,2.492188,4.433299,0.604183
0.015000,2.548100,3.570600,0.506166,1.306500,2.555995,4.253763,0.620232
0.015000,2.564433,3.582463,0.526352,1.345763,2.617518,4.101572,0.635864
0.015000,2.581064,3.594936,0.547141,1.385896,2.675583,3.870951,0.651040
0.015000,2.597992,3.608033,0.568544,1.426863,2.731124,3.702774,0.665724
0.015000,2.615220,3.621762,0.590573,1.468612,2.783217,3.472839,0.679883
