dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,3.238000,4.653195,0.000075,0.009996,0.666380,44.425349,4.712954
0.015000,3.238000,4.653172,0.000098,0.001513,-0.565516,-82.126390,4.712888
0.015000,3.238000,4.653121,0.000149,0.003406,0.126209,46.114957,4.712740
0.015000,3.238000,4.653036,0.000234,0.005683,0.151776,1.704497,4.712493
0.015000,3.238000,4.651814,0.001456,0.081442,5.050623,326.589765,4.712146
0.015000,3.237999,4.649636,0.003634,0.145208,4.251053,-53.304632,4.711700
0.015000,3.237996,4.646973,0.006297,0.177517,2.153974,-139.805304,4.711152
0.015000,3.237991,4.643826,0.009444,0.209853,2.155709,0.115723,4.710503
0.015000,3.237983,4.640192,0.013077,0.242211,2.157190,0.098670,4.709751
0.015000,3.237971,4.636074,0.017196,0.274587,2.158412,0.081480,4.708894
0.015000,3.237952,4.631468,0.021802,0.307031,2.162944,0.302181,4.707931
0.015000,3.237927,4.626376,0.026894,0.339488,2.163758,0.054223,4.706861
0.015000,3.237893,4.620796,0.032474,0.372000,2.167472,0.247591,4.705680
0.015000,3.237848,4.614728,0.038543,0.404564,2.170957,0.232343,4.704388
0.015000,3.237791,4.608170,0.045100,0.437177,2.174210,0.216867,4.702981
0.015000,3.237719,4.601123,0.052148,0.469861,2.178889,0.311913,4.701457
0.015000,3.237631,4.593584,0.059687,0.502599,2.182577,0.245893,4.699814
0.015000,3.237523,4.585554,0.067718,0.535428,2.188558,0.398720,4.698047
0.015000,3.237392,4.577030,0.076243,0.568317,2.192638,0.272014,4.696154
0.015000,3.237237,4.568012,0.085263,0.601290,2.198197,0.370634,4.694131
0.015000,3.237053,4.558498,0.094778,0.634376,2.205700,0.500181,4.691973
0.015000,3.236837,4.548487,0.104791,0.667529,2.210220,0.301357,4.689678
0.015000,3.236585,4.537978,0.115303,0.700813,2.218918,0.579829,4.687239
0.015000,3.236294,4.526969,0.126316,0.734191,2.225222,0.420265,4.684653
0.015000,3.235959,4.515459,0.137832,0.767694,2.233555,0.555512,4.681914
0.015000,3.235576,4.503445,0.149851,0.801321,2.241786,0.548752,4.679017
0.015000,3.235138,4.490926,0.162378,0.835103,2.252147,0.690733,4.675954
0.015000,3.234643,4.477900,0.175413,0.869005,2.260092,0.529699,4.672722
0.015000,3.234082,4.464366,0.188960,0.903095,2.272705,0.840822,4.669311
0.015000,3.233452,4.450320,0.203019,0.937329,2.282257,0.636851,4.665715
0.015000,3.232744,4.435761,0.217596,0.971745,2.294378,0.808008,4.661927
0.015000,3.231953,4.420686,0.232691,1.006371,2.308434,0.937065,4.657938
0.015000,3.231070,4.405093,0.248309,1.041165,2.319551,0.741158,4.653739
0.015000,3.230088,4.388980,0.264452,1.076211,2.336423,1.124837,4.649320
0.015000,3.228999,4.372344,0.281124,1.111470,2.350626,0.946820,4.644672
0.015000,3.227793,4.355181,0.298329,1.146976,2.367041,1.094339,4.639784
0.015000,3.226461,4.337490,0.316070,1.182767,2.386100,1.270626,4.634644
0.015000,3.224992,4.319267,0.334352,1.218802,2.402310,1.080650,4.629241
0.015000,3.223375,4.300509,0.353180,1.255176,2.424942,1.508796,4.623560
0.015000,3.221599,4.281213,0.372557,1.291850,2.444931,1.332585,4.617588
0.015000,3.219650,4.261375,0.392491,1.328873,2.468192,1.550779,4.611311
0.015000,3.217515,4.240993,0.412985,1.366272,2.493258,1.671056,4.604711
0.015000,3.215179,4.220062,0.434045,1.404041,2.517935,1.645131,4.597773
0.015000,3.212627,4.198579,0.455679,1.442241,2.546650,1.914295,4.590477
0.015000,3.209841,4.176541,0.477892,1.480896,2.576997,2.023159,4.582805
0.015000,3.206804,4.153944,0.500693,1.520019,2.608244,2.083105,4.574736
0.015000,3.203496,4.130785,0.524087,1.559643,2.641603,2.223966,4.566247
0.015000,3.199896,4.107059,0.548085,1.599823,2.678616,2.467543,4.557315
0.015000,3.195981,4.082763,0.572693,1.640587,2.717616,2.599962,4.547915
0.015000,3.191728,4.057895,0.597923,1.681978,2.759389,2.784920,4.538019
0.015000,3.187109,4.032451,0.623783,1.724000,2.801519,2.808667,4.527600
0.015000,3.182098,4.006428,0.650284,1.766754,2.850233,3.247539,4.516626
0.015000,3.176663,3.979823,0.677438,1.810236,2.898833,3.240047,4.505064
0.015000,3.170772,3.952637,0.705256,1.854510,2.951540,3.513790,4.492881
0.015000,3.164390,3.924866,0.733750,1.899655,3.009710,3.877979,4.480040
0.015000,3.157478,3.896511,0.762935,1.945653,3.066523,3.787551,4.466502
0.015000,3.149997,3.867574,0.792824,1.992597,3.129587,4.204269,4.452227
0.015000,3.141902,3.838056,0.823432,2.040509,3.194169,4.305491,4.437172
0.015000,3.133147,3.807961,0.854774,2.089478,3.264577,4.693833,4.421292
0.015000,3.123680,3.777297,0.886866,2.139475,3.333137,4.570648,4.404542
0.015000,3.113449,3.746072,0.919725,2.190567,3.406135,4.866566,4.386874
0.015000,3.102395,3.714298,0.953366,2.242794,3.481817,5.045470,4.368239
0.015000,3.090458,3.681991,0.987808,2.296121,3.555126,4.887229,4.348589
0.015000,3.077574,3.649171,1.023067,2.350576,3.630331,5.013719,4.327875
0.015000,3.063673,3.615864,1.059159,2.406104,3.701856,4.768335,4.306050
0.015000,3.048685,3.582101,1.096099,2.462686,3.772118,4.684092,4.283069
0.015000,3.032537,3.547920,1.133902,2.520189,3.833515,4.093139,4.258891
0.015000,3.015153,3.513369,1.172579,2.578513,3.888318,3.653521,4.233480
0.015000,2.996458,3.478503,1.212142,2.637488,3.931668,2.890011,4.206809
0.015000,2.976375,3.443387,1.252595,2.696881,3.959534,1.857735,4.178859
0.015000,2.954831,3.408097,1.293941,2.756419,3.969183,0.643264,4.149623
0.015000,2.931812,3.372804,1.336078,2.809103,3.512244,-30.462614,4.119183
0.015000,2.907381,3.337766,1.378792,2.847629,2.568384,-62.923958,4.087720
0.015000,2.881684,3.303305,1.421780,2.865832,1.213545,-90.322649,4.055506
0.015000,2.854910,3.269729,1.464724,2.862951,-0.192067,-93.707443,4.022849
0.015000,2.827235,3.237265,1.507382,2.843894,-1.270415,-71.889854,3.990018
0.015000,2.798814,3.206060,1.549590,2.813872,-2.001481,-48.737746,3.957229
0.015000,2.769746,3.176169,1.591285,2.779647,-2.281707,-18.681753,3.924625
0.015000,2.740123,3.147623,1.632424,2.742613,-2.468902,-12.479667,3.892328
0.015000,2.710041,3.120441,1.672968,2.702909,-2.646932,-11.868618,3.860453
0.015000,2.679597,3.094632,1.712879,2.660765,-2.809615,-10.845571,3.829107
0.015000,2.648887,3.070195,1.752125,2.616402,-2.957514,-9.859920,3.798386
0.015000,2.618006,3.047117,1.790677,2.570115,-3.085808,-8.552962,3.768374
