dt,x,y,position,velocity,acceleration,jerk,heading
0.015000,2.548000,4.652805,0.000075,0.009996,0.666380,44.425349,4.712954
0.015000,2.548000,4.652828,0.000098,0.001513,-0.565516,-82.126390,4.712888
0.015000,2.548000,4.652879,0.000149,0.003406,0.126209,46.114957,4.712740
0.015000,2.548000,4.652964,0.000234,0.005683,0.151776,1.704497,4.712493
0.015000,2.548000,4.651982,0.001217,0.065503,3.988005,255.748590,4.712146
0.015000,2.547999,4.650112,0.003087,0.124668,3.944344,-2.910768,4.711700
0.015000,2.547997,4.647827,0.005372,0.152337,1.844591,-139.983480,4.711152
0.015000,2.547993,4.645127,0.008071,0.179985,1.843239,-0.090139,4.710503
0.015000,2.547986,4.642013,0.011185,0.207602,1.841131,-0.140580,4.709751
0.015000,2.547975,4.638485,0.014713,0.235176,1.838255,-0.191728,4.708894
0.015000,2.547959,4.634544,0.018654,0.262741,1.837654,-0.040054,4.707931
0.015000,2.547937,4.630190,0.023008,0.290240,1.833295,-0.290603,4.706861
0.015000,2.547908,4.625425,0.027773,0.317703,1.830829,-0.164382,4.705680
0.015000,2.547870,4.620248,0.032950,0.345116,1.827559,-0.217996,4.704388
0.015000,2.547821,4.614662,0.038537,0.372468,1.823464,-0.272987,4.702981
0.015000,2.547761,4.608665,0.044534,0.399767,1.819935,-0.235289,4.701457
0.015000,2.547685,4.602261,0.050938,0.426991,1.814889,-0.336420,4.699814
0.015000,2.547594,4.595449,0.057751,0.454157,1.811089,-0.253310,4.698047
0.015000,2.547483,4.588232,0.064969,0.481231,1.804945,-0.409605,4.696154
0.015000,2.547352,4.580609,0.072593,0.508221,1.799295,-0.376685,4.694131
0.015000,2.547197,4.572584,0.080620,0.535138,1.794485,-0.320635,4.691973
0.015000,2.547015,4.564157,0.089049,0.561933,1.786322,-0.544241,4.689678
0.015000,2.546804,4.555330,0.097878,0.588645,1.780799,-0.368166,4.687239
0.015000,2.546560,4.546105,0.107107,0.615230,1.772336,-0.564173,4.684653
0.015000,2.546280,4.536483,0.116732,0.641699,1.764604,-0.515503,4.681914
0.015000,2.545960,4.526468,0.126753,0.668035,1.755757,-0.589765,4.679017
0.015000,2.545596,4.516060,0.137167,0.694249,1.747597,-0.544025,4.675954
0.015000,2.545185,4.505264,0.147971,0.720293,1.736278,-0.754635,4.672722
0.015000,2.544723,4.494080,0.159164,0.746207,1.727610,-0.577815,4.669311
0.015000,2.544203,4.482513,0.170743,0.771934,1.715114,-0.833093,4.665715
0.015000,2.543622,4.470565,0.182705,0.797485,1.703368,-0.783035,4.661927
0.015000,2.542975,4.458239,0.195048,0.822861,1.691744,-0.774956,4.657938
0.015000,2.542257,4.445539,0.207768,0.848003,1.676164,-1.038649,4.653739
0.015000,2.541460,4.432469,0.220863,0.872958,1.663626,-0.835918,4.649320
0.015000,2.540580,4.419033,0.234328,0.897665,1.647144,-1.098763,4.644672
0.015000,2.539611,4.405235,0.248159,0.922123,1.630581,-1.104203,4.639784
0.015000,2.538545,4.391080,0.262354,0.946335,1.614131,-1.096680,4.634644
0.015000,2.537376,4.376573,0.276908,0.970234,1.593261,-1.391307,4.629241
0.015000,2.536095,4.361721,0.291816,0.993863,1.575230,-1.202101,4.623560
0.015000,2.534697,4.346527,0.307073,1.017152,1.552648,-1.505436,4.617588
0.015000,2.533171,4.331001,0.322675,1.040103,1.530053,-1.506339,4.611311
0.015000,2.531511,4.315147,0.338615,1.062695,1.506082,-1.598039,4.604711
0.015000,2.529706,4.298974,0.354888,1.084877,1.478848,-1.815614,4.597773
0.015000,2.527748,4.282490,0.371488,1.106651,1.451587,-1.817447,4.590477
0.015000,2.525626,4.265704,0.388408,1.127984,1.422198,-1.959227,4.582805
0.015000,2.523331,4.248625,0.405640,1.148833,1.389914,-2.152299,4.574736
0.015000,2.520851,4.231264,0.423178,1.169164,1.355442,-2.298109,4.566247
0.015000,2.518176,4.213631,0.441012,1.188960,1.319689,-2.383530,4.557315
0.015000,2.515293,4.195739,0.459135,1.208177,1.281147,-2.569457,4.547915
0.015000,2.512191,4.177601,0.477537,1.226779,1.240163,-2.732309,4.538019
0.015000,2.508857,4.159231,0.496207,1.244701,1.194756,-3.027093,4.527600
0.015000,2.505277,4.140643,0.515136,1.261939,1.149222,-3.035644,4.516626
0.015000,2.501439,4.121855,0.534312,1.278417,1.098512,-3.380661,4.505064
0.015000,2.497329,4.102884,0.553724,1.294099,1.045512,-3.533282,4.492881
0.015000,2.492931,4.083748,0.573358,1.308964,0.990994,-3.634593,4.480040
0.015000,2.488232,4.064469,0.593202,1.322917,0.930192,-4.053409,4.466502
0.015000,2.483217,4.045067,0.613241,1.335943,0.868422,-4.118001,4.452227
0.015000,2.477870,4.025567,0.633461,1.347982,0.802590,-4.388818,4.437172
0.015000,2.472175,4.005994,0.653846,1.359020,0.735858,-4.448815,4.421292
0.015000,2.466119,3.986372,0.674381,1.368976,0.663698,-4.810670,4.404542
0.015000,2.459684,3.966732,0.695049,1.377841,0.590998,-4.846666,4.386874
0.015000,2.452855,3.947102,0.715833,1.385604,0.517579,-4.894596,4.368239
0.015000,2.445618,3.927512,0.736716,1.392230,0.441700,-5.058595,4.348589
0.015000,2.437957,3.907996,0.757682,1.397747,0.367824,-4.925093,4.327875
0.015000,2.429857,3.888586,0.778715,1.402170,0.294837,-4.865768,4.306050
0.015000,2.421303,3.869315,0.799798,1.405574,0.226984,-4.523535,4.283069
0.015000,2.412282,3.850218,0.820919,1.408024,0.163267,-4.247789,4.258891
0.015000,2.402780,3.831329,0.842064,1.409659,0.109047,-3.614682,4.233480
0.015000,2.392781,3.812680,0.863223,1.410652,0.066191,-2.857035,4.206809
0.015000,2.382273,3.794304,0.884392,1.411218,0.037705,-1.899077,4.178859
0.015000,2.371241,3.776231,0.905566,1.411634,0.027753,-0.663460,4.149623
0.015000,2.359697,3.758529,0.926700,1.408925,-0.180568,-13.888122,4.119183
0.015000,2.347683,3.741298,0.947706,1.400366,-0.570661,-26.006153,4.087720
0.015000,2.335273,3.724654,0.968467,1.384070,-1.086355,-34.379583,4.055506
0.015000,2.322548,3.708694,0.988879,1.360796,-1.551594,-31.015976,4.022849
0.015000,2.309570,3.693470,1.008884,1.333705,-1.806070,-16.965035,3.990018
